Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
61.2,459026948,648,708374.9,16713.5,4807,109716828,4582208.9,cudaMemcpyAsync
11.7,87582548,60,1459709.1,1524649.0,905172,2120158,343516.3,cudaGraphLaunch_v10000
11.2,83935504,436,192512.6,4474.5,1821,31308015,1566669.6,cudaStreamSynchronize
9.7,72715317,7374,9861.0,9244.0,4409,563118,11213.6,cudaLaunchKernel
1.8,13622248,1150,11845.4,10723.5,4422,676091,19942.7,cuLaunchKernelEx
1.3,9840723,1098,8962.4,8763.0,4342,40836,2816.8,cuLaunchKernel
0.5,3584501,1190,3012.2,2497.0,880,16374,1788.4,cudaEventRecord
0.4,3045716,1227,2482.2,1660.0,756,22205,1997.5,cudaEventQuery
0.4,2730238,290,9414.6,9006.0,4429,23096,3131.2,cudaLaunchKernelExC_v11060
0.4,2723359,894,3046.3,2341.0,878,10949,1837.9,cudaStreamWaitEvent
0.3,2616268,454,5762.7,4983.5,144,38129,6771.8,cudaMemsetAsync
0.2,1641309,7374,222.6,194.0,81,11343,188.7,cuKernelGetName
0.2,1371869,1096,1251.7,846.0,357,116334,5320.1,cuKernelGetFunction
0.2,1234930,782,1579.2,1187.5,397,22248,1473.1,cudaStreamIsCapturing_v10000
0.2,1158449,326,3553.5,3312.0,1481,23632,1816.6,cudaEventRecordWithFlags_v11010
0.1,817787,296,2762.8,2749.5,1660,5054,588.4,cudaEventCreateWithFlags
0.1,732527,298,2458.1,2357.0,982,6920,783.6,cudaGetFuncBySymbol_v11000
0.1,593991,296,2006.7,1962.5,916,4414,493.7,cudaEventDestroy
0.1,578635,298,1941.7,1850.0,981,4027,512.2,cudaStreamGetCaptureInfo_v12030
0.1,420150,610,688.8,599.0,367,5426,425.3,cudaThreadExchangeStreamCaptureMode_v10010
0.0,262709,6,43784.8,29773.5,21929,80488,27795.2,cudaHostAlloc
0.0,178128,1,178128.0,178128.0,178128,178128,0.0,cudaDeviceSynchronize
0.0,43413,12,3617.8,3054.5,2124,9213,1902.9,cuLibraryGetKernel
0.0,9889,1,9889.0,9889.0,9889,9889,0.0,cuProfilerStart
