Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:runner.run_model,PushPop,1443488540,1111217285,64,22554508.4,7064918.5,6562627,371976272,63231205.9,10748,167.9,1.0,1.1
:runner.model.forward,PushPop,1017158551,1010446616,4,254289637.8,227442735.0,190726694,371546387,84996895.7,10664,2666.0,2.0,3.0
:engine.model_runner,PushPop,798058143,968603410,32,24939317.0,7535546.5,6904175,380087958,72765021.9,5426,169.6,1.0,2.1
:model.language_model,PushPop,749075914,742783018,4,187268978.5,187206040.5,185162458,189501375,2402721.2,8172,2043.0,3.0,150.0
:trace_cold,PushPop,515853171,888454956,1,515853171.0,515853171.0,515853171,515853171,0.0,3193,3193.0,0.0,16.0
NCCL:ncclAllReduce,PushPop,441823854,23032521,292,1513095.4,931928.5,21856,109835060,6467268.3,292,1.0,4.0,0.0
:runner.cudagraph.replay,PushPop,424005847,90272617,60,7066764.1,6915151.0,6562627,9324574,487160.8,60,1.0,2.0,0.0
:trace_full_prefix_hit,PushPop,320747324,548145066,1,320747324.0,320747324.0,320747324,320747324,0.0,2237,2237.0,0.0,18.0
:model.vision.image,PushPop,151414288,229374882,2,75707144.0,75707144.0,75634729,75779559,102410.3,2440,1220.0,3.0,3.0
:model.vision.data_parallel.encode,PushPop,116009070,116083677,2,58004535.0,58004535.0,43383410,72625660,20677393.3,2418,1209.0,4.0,2.0
:model.token_embedding,PushPop,114847276,4204935,4,28711819.0,1992384.5,979447,109883060,54122447.6,32,8.0,3.0,1.0
:model.vision.data_parallel.gather,PushPop,33904781,645050,2,16952390.5,16952390.5,2071665,31833116,21044523.8,2,1.0,4.0,1.0
NCCL:ncclAllGather,PushPop,33904781,217733,2,16952390.5,16952390.5,2071665,31833116,21044523.8,2,1.0,5.0,0.0
:runner.prepare_inputs,PushPop,23877911,24732572,4,5969477.8,4573694.0,806779,13923744,6290955.6,28,7.0,1.0,0.0
:attention.prefill.sdpa_varlen,PushPop,8457015,10320278,72,117458.5,117518.5,116031,118911,808.7,72,1.0,4.0,0.0
:runner.model.compute_logits,PushPop,2234223,2517371,4,558555.8,475212.0,414685,869114,212427.3,24,6.0,2.0,1.0
:attention.prefill.paged_vectorized_sdpa,PushPop,1917812,33448654,72,26636.3,18287.5,16480,567035,64833.2,144,2.0,4.0,0.0
NCCL:ncclGroupEnd,PushPop,498077,217268,4,124519.3,11920.0,8704,465533,227361.8,4,1.0,3.0,0.0
:attention.kv_store.triton_scaled_fp8,PushPop,435679,41420794,144,3025.5,3056.0,1088,4928,1717.6,144,1.0,4.0,0.0
CCCL:cub::DeviceSelect::Flagged,PushPop,177952,385754,12,14829.3,14480.0,9856,22336,3971.7,24,2.0,4.0,0.0
:model.vision.data_parallel.restore,PushPop,113823,758347,2,56911.5,56911.5,56032,57791,1243.8,16,8.0,4.0,0.0
:engine.kv.copy_prefix,PushPop,108479,1493965,1,108479.0,108479.0,108479,108479,0.0,2,2.0,1.0,0.0
CCCL:cub::DeviceScan::InclusiveScan,PushPop,103840,183935,4,25960.0,25504.0,17024,35808,7692.0,8,2.0,5.0,0.0
CCCL:cub::DeviceScan::ExclusiveScan,PushPop,95328,97689,2,47664.0,47664.0,43616,51712,5724.7,4,2.0,3.0,0.0
:engine.kv.copy_on_write,PushPop,76800,627183,1,76800.0,76800.0,76800,76800,0.0,2,2.0,1.0,0.0
:runner.sampler,PushPop,39744,342788301,62,641.0,320.0,320,9856,1445.2,66,1.1,1.0,0.0
CCCL:cub::DeviceReduce::Sum,PushPop,26176,208966,12,2181.3,1888.0,1440,3968,893.0,12,1.0,4.0,0.0
