Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
17.2,1111217285,64,17362770.1,1732807.5,1023070,372306087,64221968.2,PushPop,:runner.run_model
15.6,1010446616,4,252611654.0,225791248.0,187490007,371374113,86035263.3,PushPop,:runner.model.forward
15.0,968761393,61,15881334.3,7721837.0,3888,521729923,70408095.4,PushPop,:engine.model_runner
13.7,888454956,1,888454956.0,888454956.0,888454956,888454956,0.0,PushPop,:trace_cold
11.5,742783018,4,185695754.5,185319063.0,182518966,189625926,3067162.9,PushPop,:model.language_model
8.5,548145066,1,548145066.0,548145066.0,548145066,548145066,0.0,PushPop,:trace_full_prefix_hit
5.3,342788301,62,5528843.6,5657015.5,851894,7221295,707939.7,PushPop,:runner.sampler
4.0,258597943,2,129298971.5,129298971.5,117305047,141292896,16961970.7,PushPop,:preprocess.image_processor
3.5,229374882,2,114687441.0,114687441.0,45296933,184077949,98132997.5,PushPop,:model.vision.image
1.8,116083677,2,58041838.5,58041838.5,43234982,72848695,20940057.3,PushPop,:model.vision.data_parallel.encode
1.4,90272617,60,1504543.6,1572810.0,932587,2171818,352704.9,PushPop,:runner.cudagraph.replay
0.6,41420794,144,287644.4,297827.0,160630,521344,64516.4,PushPop,:attention.kv_store.triton_scaled_fp8
0.5,33448654,72,464564.6,216658.5,138596,10757422,1448707.4,PushPop,:attention.prefill.paged_vectorized_sdpa
0.4,24732572,4,6183143.0,4825148.0,1343187,13739089,5834335.8,PushPop,:runner.prepare_inputs
0.4,23032521,292,78878.5,77542.5,37815,158801,19467.1,PushPop,NCCL:ncclAllReduce
0.2,10320278,72,143337.2,146591.5,93450,658812,66266.3,PushPop,:attention.prefill.sdpa_varlen
0.2,10071467,32,314733.3,74925.5,56780,5595385,1007628.2,PushPop,:engine.scheduler.schedule
0.1,6880770,2,3440385.0,3440385.0,3432058,3448712,11776.2,PushPop,:preprocess.mrope_positions
0.1,5496643,32,171770.1,15590.5,11481,2555725,607394.0,PushPop,:engine.scheduler.postprocess
0.1,4204935,4,1051233.8,1041542.0,869444,1252407,165264.4,PushPop,:model.token_embedding
0.0,2517371,4,629342.8,633004.0,405808,845555,179828.6,PushPop,:runner.model.compute_logits
0.0,1493965,1,1493965.0,1493965.0,1493965,1493965,0.0,PushPop,:engine.kv.copy_prefix
0.0,1016978,60,16949.6,17298.0,11359,28078,2784.1,PushPop,:runner.cudagraph.copy_inputs
0.0,758347,2,379173.5,379173.5,302350,455997,108644.8,PushPop,:model.vision.data_parallel.restore
0.0,645050,2,322525.0,322525.0,284985,360065,53089.6,PushPop,:model.vision.data_parallel.gather
0.0,627183,1,627183.0,627183.0,627183,627183,0.0,PushPop,:engine.kv.copy_on_write
0.0,385754,12,32146.2,32762.0,20795,46842,8894.3,PushPop,CCCL:cub::DeviceSelect::Flagged
0.0,217733,2,108866.5,108866.5,91895,125838,24001.3,PushPop,NCCL:ncclAllGather
0.0,217268,4,54317.0,50353.0,33565,82997,21004.5,PushPop,NCCL:ncclGroupEnd
0.0,208966,12,17413.8,17607.5,11262,26781,5011.2,PushPop,CCCL:cub::DeviceReduce::Sum
0.0,183935,4,45983.8,45376.0,30575,62608,13114.1,PushPop,CCCL:cub::DeviceScan::InclusiveScan
0.0,97689,2,48844.5,48844.5,41957,55732,9740.4,PushPop,CCCL:cub::DeviceScan::ExclusiveScan
0.0,48434,4,12108.5,12002.0,8658,15772,3173.4,PushPop,:runner.prepare_sample_inputs
0.0,15676,2,7838.0,7838.0,6608,9068,1739.5,PushPop,NCCL:ncclRecv
0.0,12140,2,6070.0,6070.0,4377,7763,2394.3,PushPop,NCCL:ncclSend
0.0,8373,4,2093.3,2050.5,1363,2909,667.3,PushPop,NCCL:ncclCommCount
0.0,3272,4,818.0,825.5,334,1287,450.7,PushPop,NCCL:ncclCommUserRank
0.0,1462,4,365.5,366.0,287,443,69.2,PushPop,NCCL:ncclGroupStart
