dataset,cohort,configuration,cross_question_prefix_reuse,actual_deletion_samples,dropped_visual_tokens,samples,metric,numerator,score
MuirBench,all_multi_question,Dense official interleaved,no,0,0,85,official_compatible_accuracy,49,0.5764705882352941
MuirBench,all_multi_question,Dense labeled media-first,yes,0,0,85,official_compatible_accuracy,46,0.5411764705882353
MuirBench,paired_actual_deletion,Dense labeled media-first,yes,0,0,49,official_compatible_accuracy,27,0.5510204081632653
MuirBench,paired_actual_deletion,Attention Top-k per question,no,49,52120,49,official_compatible_accuracy,20,0.40816326530612246
MuirBench,paired_actual_deletion,First-question Attention Top-k reused,yes,49,52120,49,official_compatible_accuracy,20,0.40816326530612246
MuirBench,paired_actual_deletion,Query-agnostic Uniform reused,yes,49,52120,49,official_compatible_accuracy,20,0.40816326530612246
DocVQA,repeated_document,Dense,yes,0,0,190,mean_anls,,0.9333476373834352
DocVQA,repeated_document,Uniform,yes,0,0,190,mean_anls,,0.9333476373834352
MVBench,same_video_multi_question,Dense,yes,0,0,252,selected_denominator_accuracy,183,0.7261904761904762
MVBench,same_video_multi_question,Uniform video deletion enabled,yes,252,20064,252,selected_denominator_accuracy,113,0.44841269841269843
